package_name,source,download_link,owner,repository,sub,date_added_to_list,skip,comments,Pre-processing-GLS-threshold,Pre-processing-GLS-curve-fitting,Pre-processing-Twilight-free,Pre-processing-Triang,Pre-processing-GLS-DR,Pre-processing-Other,Post-processing-cleaning,Post-processing-compression,Post-processing-metrics,Visualization,Track-description,Path-reconstruction,Behav-clustering,Behav-segment,Behav-HMM,Space-HR,Space-HU,Space-non-convent,Simulation,Interactions,Similarity,Population-size,Environm,DB,Biologg,Non-biologg
marcher,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,T,,,,,,,,,,,,
momentuHMM,cran,,,,,2020-01-01,,,,,,,,,,,T,,,,,,T,,,,T,,,,,,,
move,cran,,,,,2020-01-01,,,,,,,,,,,T,,,,,,,T,,,,,,,,,,
moveHMM,cran,,,,,2020-01-01,,,,,,,,,,,T,,,,,,T,,,,T,,,,,,,
moveVis,cran,,,,,2020-01-01,,,,,,,,,,,,T,,,,,,,,,,,,,,,,
moveWindSpeed,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,T,,,
nparACT,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
PhysicalActivity,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
recurse,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,,,,,T,,,,,,,,
rpostgisLT,cran,,,,,2020-01-01,,removed from CRAN (and archived) on 2020-08-31,,,,,,,,,,,,,,,,,,,,,,,,T,,
rsMove,cran,,,,,2020-01-01,,removed from CRAN (and archived) on 2020-07-14,,,,,,,,T,,,,,,,,,,T,,,,,,,,
SDLfilter,cran,,,,,2020-01-01,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
segclust2d,cran,,,,,2020-01-01,,,,,,,,,,,T,,,,,T,,,,,,,,,,,,
SiMRiv,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,,,,,,T,,,,,,,
trackdem,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,T
trackeR,cran,,,,,2020-01-01,,,,,,,,,,,,,T,,,,,,,,,,,,,,,
TrajDataMining,cran,,,,,2020-01-01,,,,,,,,,T,T,,,,,,,,,,,,T,,,,,,
trajectories,cran,,,,,2020-01-01,,,,,,,,,,T,T,,,,,,,,,,,,T,,,,,
trajr,cran,,,,,2020-01-01,,,,,,,,,,T,T,,T,,,,,,,,T,,,,,,,
trip,cran,,,,,2020-01-01,,,,,,,,,T,,T,,,,,,,,,,,,,,,,,
VTrack,cran,,,,,2020-01-01,,removed from CRAN (and archived) on 2021-09-13,,,,,,,,,T,,,,,,,,,T,,,,,,,,
wildlifeDI,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,,,,,,,T,,,,,,
ctmmweb,github,,Ctmm-initiative,ctmmweb,,2020-07-01,,,,,,,,,,,,,,T,,,,T,,,T,,,,,,,
stmove,github,,dpseidel,stmove,,2020-07-01,,,,,,,,,,,,T,T,,,,,,,,,,,,,,,
rerddapXtracto,cran,,,,,2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,,T,,,
overlap,cran,,,,,2020-07-01,T,Doesn't count as tracking package as it's camera traps with no individual ID,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhabit,github,,papayoun,Rhabit,,2020-07-01,,,,,,,,,,,,,,,,,,,T,,,,,,,,,
vmstools,github,,nielshintzen,vmstools,vmstools,2020-07-01,,,,,,,,,,T,T,,,,,,,T,,,,,,,,,,
foieGras,cran,,,,,2020-01-01,,,,,,,,,T,,,,,T,,,,,,,,,,,,,,
tripEstimation,cran,,,,,2020-01-01,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
geoviz,cran,,,,,2020-07-01,T,Doesn't count as tracking package,,,,,,,,,,,,,,,,,,,,,,,,,,
gtfs2gps,cran,,,,,2020-07-19,,,,,,,,T,,T,T,,,,,,,,,,,,,,,,,
RNCEP,cran,,,,,2020-07-19,T,Doesn't count as tracking package as tracking data is not in its main goals,,,,,,,,,,,,,,,,,,,,,,,,,,
bayesmove,cran,,,,,2021-02-07,,,,,,,,,,,,,,,,T,,,,,,,,,,,,
sftrack,cran,,,,,2021-02-07,,,,,,,,,,,T,,T,,,,,,,,,,,,,,,
spatsoc,cran,,,,,2019-11-08,,added after the facts (was present in the CTV but not listed here),,,,,,,,,,,,,,,,,,,,T,,,,,,
